,PERIODO,IREG,UHE,RHS,PIVARM,PIAFL(1),PIAFL(2),PIAFL(3),PIAFL(4),PIAFL(5),PIAFL(6),PIAFL(7),PIAFL(8),PIAFL(9),PIAFL(10),PIAFL(11),PIAFL(12),PIGTAD(P1L1),PIGTAD(P1L2),PIGTAD(P2L1),PIGTAD(P2L2),PIGTAD(P3L1),PIGTAD(P3L2),PIMX_SAR,PIMX_VMN
0,6,1140000,87,1013508459.4247,-334.90158,-181.24009,-177.31159,-130.86468,-95.76257,-82.13028,-97.99815,-84.84417,-72.96372,0.0,0.0,0.0,0.0,-326.82034,-329.75844,-315.34872,-320.04575,-313.594,-315.32679,0.0,0.0
1,6,1140000,29,0.0,-886.16959,-5865.42496,886.58448,-1986.95263,-456.18878,-368.57922,-214.28433,-84.22416,-49.305,-97.58158,-197.12192,-170.88699,-95.73652,-326.8206,-329.75864,-322.55925,-320.11375,-313.59422,-315.32692,0.0,0.0
2,6,1140000,4,0.0,-936.9578,-5367.67275,-751.19257,95.48968,-258.57576,-190.91181,-189.95146,-122.67124,-117.20691,-128.8805,-55.26329,-42.60809,-17.08243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,6,1140000,66,0.0,-124.80358,-2767.09904,-933.93102,-867.05213,-594.69141,-488.66262,-439.28559,-399.72645,-349.63037,-286.06647,-188.88559,-185.05485,-75.08448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6,1140000,28,0.0,-930.29572,-5279.82079,-2035.21801,158.54204,-38.67597,-33.27583,-342.61093,-242.0037,-273.84312,-151.75494,-147.46585,-75.45367,-13.28403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,6,1140000,20,0.0,-909.66177,-5078.57439,-3190.19156,-734.15689,-694.51456,-497.10805,-624.27501,-62.97446,-20.76987,-110.17833,-70.89224,-82.09874,-38.41568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,1140000,204,0.0,-33.58941,-102.89674,4.93515,-5.92345,10.73369,-2.5101,-2.43118,-2.5899,-1.97229,0.03819,-0.09967,-1.51908,0.05671,-318.86063,-323.27656,-315.34826,-318.863,-313.59368,-315.32652,0.0,0.0
7,6,1140000,21,0.0,-878.43224,-3732.07497,-1880.7545,-261.2586,-406.22039,-493.21512,-577.04876,-60.14186,-26.21552,-56.53527,28.33122,6.37727,42.11232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,6,1140000,11,0.0,-613.47363,-2656.94631,174.15486,-299.37933,-96.31819,-113.51786,-65.44686,-4.37814,-22.11541,9.42855,-23.81341,-38.39911,-19.73924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,6,1140000,27,0.0,-994.6406,-5837.85133,-8649.07107,674.25618,-598.07195,-41.53399,-679.77058,-464.89927,-338.60271,-145.71569,-146.7165,-74.66876,11.39139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
